t	nsat	m	n	chi	lambda	k	timebudget
176450	802	846	160	1.0	50	2	5
178600	802	846	160	1.0	50	2	5
174650	802	846	160	1.0	50	2	5
178650	802	846	160	1.0	50	2	5
184850	802	846	160	1.0	50	2	5
191350	802	846	160	1.0	50	2	5
181150	802	846	160	1.0	50	2	5
174200	802	846	160	1.0	50	2	5
164450	802	846	160	1.0	50	2	5
156800	802	846	160	1.0	50	2	5
172700	802	846	160	1.0	50	2	5
177600	802	846	160	1.0	50	2	5
178600	802	846	160	1.0	50	2	5
186700	802	846	160	1.0	50	2	5
177600	802	846	160	1.0	50	2	5
180650	802	846	160	1.0	50	2	5
116050	802	846	160	1.0	50	2	5
159950	802	846	160	1.0	50	2	5
153850	802	846	160	1.0	50	2	5
170500	802	846	160	1.0	50	2	5
180800	802	846	160	1.0	50	2	5
161150	802	846	160	1.0	50	2	5
173550	802	846	160	1.0	50	2	5
176900	802	846	160	1.0	50	2	5
176000	802	846	160	1.0	50	2	5
166350	802	846	160	1.0	50	2	5
177400	802	846	160	1.0	50	2	5
185100	802	846	160	1.0	50	2	5
183800	802	846	160	1.0	50	2	5
188850	802	846	160	1.0	50	2	5
178600	802	846	160	1.0	50	2	5
184800	802	846	160	1.0	50	2	5
179950	802	846	160	1.0	50	2	5
185900	802	846	160	1.0	50	2	5
172200	802	846	160	1.0	50	2	5
162550	802	846	160	1.0	50	2	5
185950	802	846	160	1.0	50	2	5
159750	802	846	160	1.0	50	2	5
114800	802	846	160	1.0	50	2	5
186200	802	846	160	1.0	50	2	5
185400	802	846	160	1.0	50	2	5
173650	802	846	160	1.0	50	2	5
159800	802	846	160	1.0	50	2	5
177000	802	846	160	1.0	50	2	5
184300	802	846	160	1.0	50	2	5
175200	802	846	160	1.0	50	2	5
159800	802	846	160	1.0	50	2	5
180600	802	846	160	1.0	50	2	5
172700	802	846	160	1.0	50	2	5
176400	802	846	160	1.0	50	2	5
177400	802	846	160	1.0	50	2	5
174000	802	846	160	1.0	50	2	5
181450	802	846	160	1.0	50	2	5
176550	802	846	160	1.0	50	2	5
176250	802	846	160	1.0	50	2	5
164200	802	846	160	1.0	50	2	5
184850	802	846	160	1.0	50	2	5
184350	802	846	160	1.0	50	2	5
178050	802	846	160	1.0	50	2	5
170950	802	846	160	1.0	50	2	5
172050	802	846	160	1.0	50	2	5
169650	802	846	160	1.0	50	2	5
171450	802	846	160	1.0	50	2	5
179800	802	846	160	1.0	50	2	5
179500	802	846	160	1.0	50	2	5
176950	802	846	160	1.0	50	2	5
179600	802	846	160	1.0	50	2	5
176900	802	846	160	1.0	50	2	5
178600	802	846	160	1.0	50	2	5
181350	802	846	160	1.0	50	2	5
169150	802	846	160	1.0	50	2	5
175800	802	846	160	1.0	50	2	5
151650	802	846	160	1.0	50	2	5
175300	802	846	160	1.0	50	2	5
159800	802	846	160	1.0	50	2	5
177300	802	846	160	1.0	50	2	5
174500	802	846	160	1.0	50	2	5
137150	801	846	160	1.0	50	2	5
179700	802	846	160	1.0	50	2	5
173500	802	846	160	1.0	50	2	5
178400	802	846	160	1.0	50	2	5
186300	802	846	160	1.0	50	2	5
177000	802	846	160	1.0	50	2	5
179950	802	846	160	1.0	50	2	5
184200	802	846	160	1.0	50	2	5
178200	802	846	160	1.0	50	2	5
181650	802	846	160	1.0	50	2	5
168750	802	846	160	1.0	50	2	5
173700	802	846	160	1.0	50	2	5
142850	802	846	160	1.0	50	2	5
154550	802	846	160	1.0	50	2	5
183750	802	846	160	1.0	50	2	5
185700	802	846	160	1.0	50	2	5
185900	802	846	160	1.0	50	2	5
189350	802	846	160	1.0	50	2	5
194500	802	846	160	1.0	50	2	5
176000	802	846	160	1.0	50	2	5
167950	802	846	160	1.0	50	2	5
179500	802	846	160	1.0	50	2	5
172550	802	846	160	1.0	50	2	5
201750	802	846	160	1.0	50	3	5
198150	801	846	160	1.0	50	3	5
187150	802	846	160	1.0	50	3	5
196750	802	846	160	1.0	50	3	5
203650	802	846	160	1.0	50	3	5
195700	801	846	160	1.0	50	3	5
191200	802	846	160	1.0	50	3	5
127400	802	846	160	1.0	50	3	5
149850	802	846	160	1.0	50	3	5
189550	802	846	160	1.0	50	3	5
202400	802	846	160	1.0	50	3	5
204850	802	846	160	1.0	50	3	5
196300	802	846	160	1.0	50	3	5
200150	801	846	160	1.0	50	3	5
194900	802	846	160	1.0	50	3	5
195450	802	846	160	1.0	50	3	5
179800	802	846	160	1.0	50	3	5
167900	802	846	160	1.0	50	3	5
200850	801	846	160	1.0	50	3	5
191100	801	846	160	1.0	50	3	5
186500	802	846	160	1.0	50	3	5
175400	802	846	160	1.0	50	3	5
190550	801	846	160	1.0	50	3	5
200600	802	846	160	1.0	50	3	5
205750	802	846	160	1.0	50	3	5
193300	802	846	160	1.0	50	3	5
194950	802	846	160	1.0	50	3	5
188650	801	846	160	1.0	50	3	5
199600	802	846	160	1.0	50	3	5
199250	802	846	160	1.0	50	3	5
203950	802	846	160	1.0	50	3	5
197050	802	846	160	1.0	50	3	5
191150	802	846	160	1.0	50	3	5
198600	802	846	160	1.0	50	3	5
186350	802	846	160	1.0	50	3	5
189300	802	846	160	1.0	50	3	5
185650	801	846	160	1.0	50	3	5
205500	802	846	160	1.0	50	3	5
187600	802	846	160	1.0	50	3	5
199600	802	846	160	1.0	50	3	5
195350	802	846	160	1.0	50	3	5
192400	802	846	160	1.0	50	3	5
207650	802	846	160	1.0	50	3	5
193600	802	846	160	1.0	50	3	5
190200	802	846	160	1.0	50	3	5
192950	802	846	160	1.0	50	3	5
195200	802	846	160	1.0	50	3	5
198300	802	846	160	1.0	50	3	5
196600	802	846	160	1.0	50	3	5
172750	802	846	160	1.0	50	3	5
172350	802	846	160	1.0	50	3	5
185600	802	846	160	1.0	50	3	5
194800	802	846	160	1.0	50	3	5
194050	802	846	160	1.0	50	3	5
202650	802	846	160	1.0	50	3	5
